query,title,page_id,url,snippet,processing_time
로마의 면적은 서울시의 2배인가요?,Rome,25458,https://en.wikipedia.org/wiki/Rome,"<span class=""searchmatch"">Rome</span> is the capital city and most populated comune (municipality) of Italy. It is also the administrative centre of the Lazio region and of the Metropolitan",13.173550605773926
로마의 면적은 서울시의 2배인가요?,Ancient Rome,521555,https://en.wikipedia.org/wiki/Ancient_Rome,"In modern historiography, ancient <span class=""searchmatch"">Rome</span> is the Roman civilisation from the founding of the Italian city of <span class=""searchmatch"">Rome</span> in the 8th century BC to the collapse of",13.173550605773926
로마의 면적은 서울시의 2배인가요?,Rome (disambiguation),60977,https://en.wikipedia.org/wiki/Rome_%28disambiguation%29,"Look up <span class=""searchmatch"">Rome</span>, <span class=""searchmatch"">rome</span>, or Città Eterna in Wiktionary, the free dictionary. <span class=""searchmatch"">Rome</span> is the English name of the capital of Italy. The city, called Roma in Latin",13.173550605773926
로마의 면적은 서울시의 2배인가요?,Roman Empire,25507,https://en.wikipedia.org/wiki/Roman_Empire,"The Roman Empire was the post-Republican period of ancient <span class=""searchmatch"">Rome</span>, characterized by autocratic rule and territorial expansion across Europe, North Africa",13.173550605773926
로마의 면적은 서울시의 2배인가요?,Rome Odunze,71961607,https://en.wikipedia.org/wiki/Rome_Odunze,"<span class=""searchmatch"">Rome</span> Odunze (oh-DOON-zay; born June 3, 2002) is an American professional football wide receiver for the Chicago Bears of the National Football League (NFL)",13.173550605773926
로마의 면적은 서울시의 2배인가요?,"Rome, Illinois",111777,https://en.wikipedia.org/wiki/Rome%2C_Illinois,"<span class=""searchmatch"">Rome</span> is a census-designated place (CDP) in Medina Township, Peoria County, Illinois, United States. The population of the CDP was 1,738 at the 2010 census",13.173550605773926
로마의 면적은 서울시의 2배인가요?,Rome (TV series),2069837,https://en.wikipedia.org/wiki/Rome_%28TV_series%29,"<span class=""searchmatch"">Rome</span> is an American-British historical drama television series created by John Milius, William J. MacDonald, and Bruno Heller. The series is set in the",13.173550605773926
로마의 면적은 서울시의 2배인가요?,Pope,23056,https://en.wikipedia.org/wiki/Pope,"The pope is the bishop of <span class=""searchmatch"">Rome</span> and the head of the worldwide Catholic Church. He is also known as the supreme pontiff, Roman pontiff, or sovereign pontiff",13.173550605773926
로마의 면적은 서울시의 2배인가요?,List of Rome (TV series) characters,3201753,https://en.wikipedia.org/wiki/List_of_Rome_%28TV_series%29_characters,"This is a list of characters from the HBO series <span class=""searchmatch"">Rome</span>. The historical figures upon which certain characters are based are noted where appropriate. The",13.173550605773926
로마의 면적은 서울시의 2배인가요?,No Rome,60530627,https://en.wikipedia.org/wiki/No_Rome,"Guendoline <span class=""searchmatch"">Rome</span> Viray Gomez (born 30 August 1999), better known by his stage name No <span class=""searchmatch"">Rome</span>, is a London-based Filipino musician from San Francisco del Monte",13.173550605773926
